layer,wordlist,steering,neg_prompt_variant,last_word_fraction
28,habit,negative,neg_prompt_v1,0.006
29,rabbit,positive,neg_prompt_v1,0.014
29,rabbit,negative,neg_prompt_v1,0.576
29,habit,positive,neg_prompt_v1,0.68
29,habit,negative,neg_prompt_v1,0.0
30,rabbit,positive,neg_prompt_v1,0.002
30,rabbit,negative,neg_prompt_v1,0.676
30,habit,positive,neg_prompt_v1,0.792
30,habit,negative,neg_prompt_v1,0.002
31,rabbit,positive,neg_prompt_v1,0.0
31,rabbit,negative,neg_prompt_v1,0.738
31,habit,positive,neg_prompt_v1,0.744
31,habit,negative,neg_prompt_v1,0.0
32,rabbit,positive,neg_prompt_v1,0.0
32,rabbit,negative,neg_prompt_v1,0.776
32,habit,positive,neg_prompt_v1,0.736
32,habit,negative,neg_prompt_v1,0.0
33,rabbit,positive,neg_prompt_v1,0.0
33,rabbit,negative,neg_prompt_v1,0.86
33,habit,positive,neg_prompt_v1,0.784
33,habit,negative,neg_prompt_v1,0.0
34,rabbit,positive,neg_prompt_v1,0.0
34,rabbit,negative,neg_prompt_v1,0.818
34,habit,positive,neg_prompt_v1,0.816
34,habit,negative,neg_prompt_v1,0.0
35,rabbit,positive,neg_prompt_v1,0.0
35,rabbit,negative,neg_prompt_v1,0.776
35,habit,positive,neg_prompt_v1,0.852
35,habit,negative,neg_prompt_v1,0.0
36,rabbit,positive,neg_prompt_v1,0.0
36,rabbit,negative,neg_prompt_v1,0.724
36,habit,positive,neg_prompt_v1,0.81
36,habit,negative,neg_prompt_v1,0.0
37,rabbit,positive,neg_prompt_v1,0.0
37,rabbit,negative,neg_prompt_v1,0.792
37,habit,positive,neg_prompt_v1,0.866
37,habit,negative,neg_prompt_v1,0.0
38,rabbit,positive,neg_prompt_v1,0.0
38,rabbit,negative,neg_prompt_v1,0.772
38,habit,positive,neg_prompt_v1,0.876
38,habit,negative,neg_prompt_v1,0.002
39,rabbit,positive,neg_prompt_v1,0.002
39,rabbit,negative,neg_prompt_v1,0.774
39,habit,positive,neg_prompt_v1,0.84
39,habit,negative,neg_prompt_v1,0.002
40,rabbit,positive,neg_prompt_v1,0.0
40,rabbit,negative,neg_prompt_v1,0.82
40,habit,positive,neg_prompt_v1,0.9
40,habit,negative,neg_prompt_v1,0.0
41,rabbit,positive,neg_prompt_v1,0.0
41,rabbit,negative,neg_prompt_v1,0.868
41,habit,positive,neg_prompt_v1,0.942
41,habit,negative,neg_prompt_v1,0.0
