layer,wordlist,steering,neg_prompt_variant,last_word_fraction
11,rabbit,positive,neg_prompt_v1,0.294
11,rabbit,negative,neg_prompt_v1,0.242
11,habit,positive,neg_prompt_v1,0.14
11,habit,negative,neg_prompt_v1,0.294
12,rabbit,positive,neg_prompt_v1,0.3
12,rabbit,negative,neg_prompt_v1,0.192
12,habit,positive,neg_prompt_v1,0.158
12,habit,negative,neg_prompt_v1,0.35
13,rabbit,positive,neg_prompt_v1,0.314
13,rabbit,negative,neg_prompt_v1,0.216
13,habit,positive,neg_prompt_v1,0.142
13,habit,negative,neg_prompt_v1,0.32
14,rabbit,positive,neg_prompt_v1,0.35
14,rabbit,negative,neg_prompt_v1,0.134
14,habit,positive,neg_prompt_v1,0.102
14,habit,negative,neg_prompt_v1,0.43
15,rabbit,positive,neg_prompt_v1,0.33
15,rabbit,negative,neg_prompt_v1,0.15
15,habit,positive,neg_prompt_v1,0.092
15,habit,negative,neg_prompt_v1,0.322
16,rabbit,positive,neg_prompt_v1,0.342
16,rabbit,negative,neg_prompt_v1,0.196
16,habit,positive,neg_prompt_v1,0.1
16,habit,negative,neg_prompt_v1,0.344
17,rabbit,positive,neg_prompt_v1,0.27
17,rabbit,negative,neg_prompt_v1,0.224
17,habit,positive,neg_prompt_v1,0.13
17,habit,negative,neg_prompt_v1,0.332
18,rabbit,positive,neg_prompt_v1,0.264
18,rabbit,negative,neg_prompt_v1,0.244
18,habit,positive,neg_prompt_v1,0.128
18,habit,negative,neg_prompt_v1,0.298
19,rabbit,positive,neg_prompt_v1,0.264
19,rabbit,negative,neg_prompt_v1,0.23
19,habit,positive,neg_prompt_v1,0.182
19,habit,negative,neg_prompt_v1,0.254
20,rabbit,positive,neg_prompt_v1,0.324
20,rabbit,negative,neg_prompt_v1,0.236
20,habit,positive,neg_prompt_v1,0.152
20,habit,negative,neg_prompt_v1,0.282
21,rabbit,positive,neg_prompt_v1,0.332
21,rabbit,negative,neg_prompt_v1,0.21
21,habit,positive,neg_prompt_v1,0.168
21,habit,negative,neg_prompt_v1,0.286
22,rabbit,positive,neg_prompt_v1,0.366
22,rabbit,negative,neg_prompt_v1,0.204
22,habit,positive,neg_prompt_v1,0.166
22,habit,negative,neg_prompt_v1,0.282
23,rabbit,positive,neg_prompt_v1,0.316
23,rabbit,negative,neg_prompt_v1,0.26
23,habit,positive,neg_prompt_v1,0.212
23,habit,negative,neg_prompt_v1,0.268
24,rabbit,positive,neg_prompt_v1,0.322
24,rabbit,negative,neg_prompt_v1,0.252
24,habit,positive,neg_prompt_v1,0.158
24,habit,negative,neg_prompt_v1,0.29
25,rabbit,positive,neg_prompt_v1,0.342
25,rabbit,negative,neg_prompt_v1,0.22
25,habit,positive,neg_prompt_v1,0.12
25,habit,negative,neg_prompt_v1,0.378
26,rabbit,positive,neg_prompt_v1,0.294
26,rabbit,negative,neg_prompt_v1,0.238
26,habit,positive,neg_prompt_v1,0.16
26,habit,negative,neg_prompt_v1,0.328
27,rabbit,positive,neg_prompt_v1,0.326
27,rabbit,negative,neg_prompt_v1,0.026
27,habit,positive,neg_prompt_v1,0.006
27,habit,negative,neg_prompt_v1,0.59
28,rabbit,positive,neg_prompt_v1,0.242
28,rabbit,negative,neg_prompt_v1,0.06
28,habit,positive,neg_prompt_v1,0.004
28,habit,negative,neg_prompt_v1,0.566
29,rabbit,positive,neg_prompt_v1,0.206
29,rabbit,negative,neg_prompt_v1,0.026
29,habit,positive,neg_prompt_v1,0.002
29,habit,negative,neg_prompt_v1,0.626
30,rabbit,positive,neg_prompt_v1,0.128
30,rabbit,negative,neg_prompt_v1,0.004
30,habit,positive,neg_prompt_v1,0.0
30,habit,negative,neg_prompt_v1,0.488
31,rabbit,positive,neg_prompt_v1,0.132
31,rabbit,negative,neg_prompt_v1,0.016
31,habit,positive,neg_prompt_v1,0.002
31,habit,negative,neg_prompt_v1,0.492
32,rabbit,positive,neg_prompt_v1,0.158
32,rabbit,negative,neg_prompt_v1,0.04
32,habit,positive,neg_prompt_v1,0.018
32,habit,negative,neg_prompt_v1,0.482
33,rabbit,positive,neg_prompt_v1,0.19
33,rabbit,negative,neg_prompt_v1,0.01
33,habit,positive,neg_prompt_v1,0.024
33,habit,negative,neg_prompt_v1,0.548
34,rabbit,positive,neg_prompt_v1,0.23
34,rabbit,negative,neg_prompt_v1,0.006
34,habit,positive,neg_prompt_v1,0.02
34,habit,negative,neg_prompt_v1,0.656
35,rabbit,positive,neg_prompt_v1,0.182
35,rabbit,negative,neg_prompt_v1,0.002
35,habit,positive,neg_prompt_v1,0.012
35,habit,negative,neg_prompt_v1,0.586
36,rabbit,positive,neg_prompt_v1,0.318
36,rabbit,negative,neg_prompt_v1,0.006
36,habit,positive,neg_prompt_v1,0.012
36,habit,negative,neg_prompt_v1,0.608
37,rabbit,positive,neg_prompt_v1,0.532
37,rabbit,negative,neg_prompt_v1,0.006
37,habit,positive,neg_prompt_v1,0.008
37,habit,negative,neg_prompt_v1,0.61
38,rabbit,positive,neg_prompt_v1,0.524
38,rabbit,negative,neg_prompt_v1,0.004
38,habit,positive,neg_prompt_v1,0.006
38,habit,negative,neg_prompt_v1,0.574
39,rabbit,positive,neg_prompt_v1,0.456
39,rabbit,negative,neg_prompt_v1,0.004
39,habit,positive,neg_prompt_v1,0.006
39,habit,negative,neg_prompt_v1,0.508
40,rabbit,positive,neg_prompt_v1,0.582
40,rabbit,negative,neg_prompt_v1,0.004
40,habit,positive,neg_prompt_v1,0.022
40,habit,negative,neg_prompt_v1,0.696
41,rabbit,positive,neg_prompt_v1,0.73
41,rabbit,negative,neg_prompt_v1,0.002
41,habit,positive,neg_prompt_v1,0.008
41,habit,negative,neg_prompt_v1,0.68
