layer,wordlist,steering,neg_prompt_variant,last_word_fraction
3,pain,positive,neg_prompt_v1,0.0
3,pain,negative,neg_prompt_v1,0.0
4,pain_rhymes_all,positive,neg_prompt_v1,0.0
4,pain_rhymes_all,negative,neg_prompt_v1,0.0
4,quick_rhymes_all,positive,neg_prompt_v1,0.994
4,quick_rhymes_all,negative,neg_prompt_v1,0.992
4,trick,positive,neg_prompt_v1,0.452
4,trick,negative,neg_prompt_v1,0.472
4,rain,positive,neg_prompt_v1,0.0
4,rain,negative,neg_prompt_v1,0.0
4,quick,positive,neg_prompt_v1,0.36
4,quick,negative,neg_prompt_v1,0.36
4,pain,positive,neg_prompt_v1,0.0
4,pain,negative,neg_prompt_v1,0.0
5,pain_rhymes_all,positive,neg_prompt_v1,0.0
5,pain_rhymes_all,negative,neg_prompt_v1,0.0
5,quick_rhymes_all,positive,neg_prompt_v1,0.996
5,quick_rhymes_all,negative,neg_prompt_v1,0.996
5,trick,positive,neg_prompt_v1,0.408
5,trick,negative,neg_prompt_v1,0.478
5,rain,positive,neg_prompt_v1,0.0
5,rain,negative,neg_prompt_v1,0.0
5,quick,positive,neg_prompt_v1,0.372
5,quick,negative,neg_prompt_v1,0.38
5,pain,positive,neg_prompt_v1,0.0
5,pain,negative,neg_prompt_v1,0.0
6,pain_rhymes_all,positive,neg_prompt_v1,0.0
6,pain_rhymes_all,negative,neg_prompt_v1,0.0
6,quick_rhymes_all,positive,neg_prompt_v1,0.998
6,quick_rhymes_all,negative,neg_prompt_v1,0.99
6,trick,positive,neg_prompt_v1,0.448
6,trick,negative,neg_prompt_v1,0.392
6,rain,positive,neg_prompt_v1,0.0
6,rain,negative,neg_prompt_v1,0.0
6,quick,positive,neg_prompt_v1,0.34
6,quick,negative,neg_prompt_v1,0.43
6,pain,positive,neg_prompt_v1,0.0
6,pain,negative,neg_prompt_v1,0.0
7,pain_rhymes_all,positive,neg_prompt_v1,0.0
7,pain_rhymes_all,negative,neg_prompt_v1,0.0
7,quick_rhymes_all,positive,neg_prompt_v1,0.984
7,quick_rhymes_all,negative,neg_prompt_v1,0.996
7,trick,positive,neg_prompt_v1,0.466
7,trick,negative,neg_prompt_v1,0.448
7,rain,positive,neg_prompt_v1,0.0
7,rain,negative,neg_prompt_v1,0.0
7,quick,positive,neg_prompt_v1,0.326
7,quick,negative,neg_prompt_v1,0.386
7,pain,positive,neg_prompt_v1,0.0
7,pain,negative,neg_prompt_v1,0.0
8,pain_rhymes_all,positive,neg_prompt_v1,0.0
8,pain_rhymes_all,negative,neg_prompt_v1,0.0
8,quick_rhymes_all,positive,neg_prompt_v1,0.982
8,quick_rhymes_all,negative,neg_prompt_v1,0.996
8,trick,positive,neg_prompt_v1,0.468
8,trick,negative,neg_prompt_v1,0.368
8,rain,positive,neg_prompt_v1,0.0
8,rain,negative,neg_prompt_v1,0.0
8,quick,positive,neg_prompt_v1,0.326
8,quick,negative,neg_prompt_v1,0.472
8,pain,positive,neg_prompt_v1,0.0
8,pain,negative,neg_prompt_v1,0.0
9,pain_rhymes_all,positive,neg_prompt_v1,0.0
9,pain_rhymes_all,negative,neg_prompt_v1,0.0
9,quick_rhymes_all,positive,neg_prompt_v1,0.988
9,quick_rhymes_all,negative,neg_prompt_v1,0.996
9,trick,positive,neg_prompt_v1,0.518
9,trick,negative,neg_prompt_v1,0.334
9,rain,positive,neg_prompt_v1,0.0
9,rain,negative,neg_prompt_v1,0.0
9,quick,positive,neg_prompt_v1,0.248
9,quick,negative,neg_prompt_v1,0.486
9,pain,positive,neg_prompt_v1,0.0
9,pain,negative,neg_prompt_v1,0.0
10,pain_rhymes_all,positive,neg_prompt_v1,0.876
10,pain_rhymes_all,negative,neg_prompt_v1,0.0
10,quick_rhymes_all,positive,neg_prompt_v1,0.0
10,quick_rhymes_all,negative,neg_prompt_v1,0.97
10,trick,positive,neg_prompt_v1,0.0
10,trick,negative,neg_prompt_v1,0.616
10,rain,positive,neg_prompt_v1,0.204
10,rain,negative,neg_prompt_v1,0.0
10,quick,positive,neg_prompt_v1,0.0
10,quick,negative,neg_prompt_v1,0.16
10,pain,positive,neg_prompt_v1,0.058
10,pain,negative,neg_prompt_v1,0.0
11,pain_rhymes_all,positive,neg_prompt_v1,0.938
11,pain_rhymes_all,negative,neg_prompt_v1,0.0
11,quick_rhymes_all,positive,neg_prompt_v1,0.0
11,quick_rhymes_all,negative,neg_prompt_v1,0.988
11,trick,positive,neg_prompt_v1,0.0
11,trick,negative,neg_prompt_v1,0.546
11,rain,positive,neg_prompt_v1,0.314
11,rain,negative,neg_prompt_v1,0.0
11,quick,positive,neg_prompt_v1,0.0
11,quick,negative,neg_prompt_v1,0.244
11,pain,positive,neg_prompt_v1,0.086
11,pain,negative,neg_prompt_v1,0.0
12,pain_rhymes_all,positive,neg_prompt_v1,0.92
12,pain_rhymes_all,negative,neg_prompt_v1,0.0
12,quick_rhymes_all,positive,neg_prompt_v1,0.0
12,quick_rhymes_all,negative,neg_prompt_v1,0.992
12,trick,positive,neg_prompt_v1,0.0
12,trick,negative,neg_prompt_v1,0.574
12,rain,positive,neg_prompt_v1,0.284
12,rain,negative,neg_prompt_v1,0.0
12,quick,positive,neg_prompt_v1,0.0
12,quick,negative,neg_prompt_v1,0.234
12,pain,positive,neg_prompt_v1,0.1
12,pain,negative,neg_prompt_v1,0.0
13,pain_rhymes_all,positive,neg_prompt_v1,0.916
13,pain_rhymes_all,negative,neg_prompt_v1,0.0
13,quick_rhymes_all,positive,neg_prompt_v1,0.0
13,quick_rhymes_all,negative,neg_prompt_v1,0.98
13,trick,positive,neg_prompt_v1,0.0
13,trick,negative,neg_prompt_v1,0.476
13,rain,positive,neg_prompt_v1,0.282
13,rain,negative,neg_prompt_v1,0.0
13,quick,positive,neg_prompt_v1,0.0
13,quick,negative,neg_prompt_v1,0.308
13,pain,positive,neg_prompt_v1,0.128
13,pain,negative,neg_prompt_v1,0.0
14,pain_rhymes_all,positive,neg_prompt_v1,0.936
14,pain_rhymes_all,negative,neg_prompt_v1,0.0
14,quick_rhymes_all,positive,neg_prompt_v1,0.0
14,quick_rhymes_all,negative,neg_prompt_v1,0.996
14,trick,positive,neg_prompt_v1,0.0
14,trick,negative,neg_prompt_v1,0.506
14,rain,positive,neg_prompt_v1,0.244
14,rain,negative,neg_prompt_v1,0.0
14,quick,positive,neg_prompt_v1,0.0
14,quick,negative,neg_prompt_v1,0.33
14,pain,positive,neg_prompt_v1,0.124
14,pain,negative,neg_prompt_v1,0.0
15,pain_rhymes_all,positive,neg_prompt_v1,0.904
15,pain_rhymes_all,negative,neg_prompt_v1,0.0
15,quick_rhymes_all,positive,neg_prompt_v1,0.0
15,quick_rhymes_all,negative,neg_prompt_v1,0.986
15,trick,positive,neg_prompt_v1,0.0
15,trick,negative,neg_prompt_v1,0.466
15,rain,positive,neg_prompt_v1,0.25
15,rain,negative,neg_prompt_v1,0.0
15,quick,positive,neg_prompt_v1,0.0
15,quick,negative,neg_prompt_v1,0.35
15,pain,positive,neg_prompt_v1,0.102
15,pain,negative,neg_prompt_v1,0.0
16,pain_rhymes_all,positive,neg_prompt_v1,0.93
16,pain_rhymes_all,negative,neg_prompt_v1,0.0
16,quick_rhymes_all,positive,neg_prompt_v1,0.0
16,quick_rhymes_all,negative,neg_prompt_v1,0.984
16,trick,positive,neg_prompt_v1,0.0
16,trick,negative,neg_prompt_v1,0.378
16,rain,positive,neg_prompt_v1,0.294
16,rain,negative,neg_prompt_v1,0.0
16,quick,positive,neg_prompt_v1,0.0
16,quick,negative,neg_prompt_v1,0.394
16,pain,positive,neg_prompt_v1,0.128
16,pain,negative,neg_prompt_v1,0.0
17,pain_rhymes_all,positive,neg_prompt_v1,0.928
17,pain_rhymes_all,negative,neg_prompt_v1,0.0
17,quick_rhymes_all,positive,neg_prompt_v1,0.0
17,quick_rhymes_all,negative,neg_prompt_v1,0.994
17,trick,positive,neg_prompt_v1,0.0
17,trick,negative,neg_prompt_v1,0.49
17,rain,positive,neg_prompt_v1,0.266
17,rain,negative,neg_prompt_v1,0.0
17,quick,positive,neg_prompt_v1,0.0
17,quick,negative,neg_prompt_v1,0.326
17,pain,positive,neg_prompt_v1,0.144
17,pain,negative,neg_prompt_v1,0.0
18,pain_rhymes_all,positive,neg_prompt_v1,0.944
18,pain_rhymes_all,negative,neg_prompt_v1,0.0
18,quick_rhymes_all,positive,neg_prompt_v1,0.0
18,quick_rhymes_all,negative,neg_prompt_v1,0.986
18,trick,positive,neg_prompt_v1,0.0
18,trick,negative,neg_prompt_v1,0.488
18,rain,positive,neg_prompt_v1,0.226
18,rain,negative,neg_prompt_v1,0.0
18,quick,positive,neg_prompt_v1,0.0
18,quick,negative,neg_prompt_v1,0.294
18,pain,positive,neg_prompt_v1,0.184
18,pain,negative,neg_prompt_v1,0.0
19,pain_rhymes_all,positive,neg_prompt_v1,0.892
19,pain_rhymes_all,negative,neg_prompt_v1,0.0
19,quick_rhymes_all,positive,neg_prompt_v1,0.0
19,quick_rhymes_all,negative,neg_prompt_v1,0.99
19,trick,positive,neg_prompt_v1,0.0
19,trick,negative,neg_prompt_v1,0.592
19,rain,positive,neg_prompt_v1,0.24
19,rain,negative,neg_prompt_v1,0.0
19,quick,positive,neg_prompt_v1,0.0
19,quick,negative,neg_prompt_v1,0.216
19,pain,positive,neg_prompt_v1,0.098
19,pain,negative,neg_prompt_v1,0.0
20,pain_rhymes_all,positive,neg_prompt_v1,0.916
20,pain_rhymes_all,negative,neg_prompt_v1,0.0
20,quick_rhymes_all,positive,neg_prompt_v1,0.0
20,quick_rhymes_all,negative,neg_prompt_v1,0.984
20,trick,positive,neg_prompt_v1,0.0
20,trick,negative,neg_prompt_v1,0.622
20,rain,positive,neg_prompt_v1,0.218
20,rain,negative,neg_prompt_v1,0.0
20,quick,positive,neg_prompt_v1,0.0
20,quick,negative,neg_prompt_v1,0.198
20,pain,positive,neg_prompt_v1,0.098
20,pain,negative,neg_prompt_v1,0.0
21,pain_rhymes_all,positive,neg_prompt_v1,0.93
21,pain_rhymes_all,negative,neg_prompt_v1,0.0
21,quick_rhymes_all,positive,neg_prompt_v1,0.0
21,quick_rhymes_all,negative,neg_prompt_v1,0.988
21,trick,positive,neg_prompt_v1,0.0
21,trick,negative,neg_prompt_v1,0.594
21,rain,positive,neg_prompt_v1,0.188
21,rain,negative,neg_prompt_v1,0.0
21,quick,positive,neg_prompt_v1,0.0
21,quick,negative,neg_prompt_v1,0.254
21,pain,positive,neg_prompt_v1,0.1
21,pain,negative,neg_prompt_v1,0.0
22,pain_rhymes_all,positive,neg_prompt_v1,0.906
22,pain_rhymes_all,negative,neg_prompt_v1,0.0
22,quick_rhymes_all,positive,neg_prompt_v1,0.004
22,quick_rhymes_all,negative,neg_prompt_v1,0.986
22,trick,positive,neg_prompt_v1,0.0
22,trick,negative,neg_prompt_v1,0.612
22,rain,positive,neg_prompt_v1,0.214
22,rain,negative,neg_prompt_v1,0.0
22,quick,positive,neg_prompt_v1,0.002
22,quick,negative,neg_prompt_v1,0.23
22,pain,positive,neg_prompt_v1,0.08
22,pain,negative,neg_prompt_v1,0.0
23,pain_rhymes_all,positive,neg_prompt_v1,0.88
23,pain_rhymes_all,negative,neg_prompt_v1,0.0
23,quick_rhymes_all,positive,neg_prompt_v1,0.0
23,quick_rhymes_all,negative,neg_prompt_v1,0.982
23,trick,positive,neg_prompt_v1,0.0
23,trick,negative,neg_prompt_v1,0.606
23,rain,positive,neg_prompt_v1,0.218
23,rain,negative,neg_prompt_v1,0.0
23,quick,positive,neg_prompt_v1,0.0
23,quick,negative,neg_prompt_v1,0.266
23,pain,positive,neg_prompt_v1,0.076
23,pain,negative,neg_prompt_v1,0.0
24,pain_rhymes_all,positive,neg_prompt_v1,0.936
24,pain_rhymes_all,negative,neg_prompt_v1,0.0
24,quick_rhymes_all,positive,neg_prompt_v1,0.0
24,quick_rhymes_all,negative,neg_prompt_v1,0.984
24,trick,positive,neg_prompt_v1,0.0
24,trick,negative,neg_prompt_v1,0.536
24,rain,positive,neg_prompt_v1,0.258
24,rain,negative,neg_prompt_v1,0.0
24,quick,positive,neg_prompt_v1,0.0
24,quick,negative,neg_prompt_v1,0.266
24,pain,positive,neg_prompt_v1,0.042
24,pain,negative,neg_prompt_v1,0.0
25,pain_rhymes_all,positive,neg_prompt_v1,0.91
25,pain_rhymes_all,negative,neg_prompt_v1,0.0
25,quick_rhymes_all,positive,neg_prompt_v1,0.0
25,quick_rhymes_all,negative,neg_prompt_v1,0.984
25,trick,positive,neg_prompt_v1,0.0
25,trick,negative,neg_prompt_v1,0.554
25,rain,positive,neg_prompt_v1,0.288
25,rain,negative,neg_prompt_v1,0.0
25,quick,positive,neg_prompt_v1,0.0
25,quick,negative,neg_prompt_v1,0.276
25,pain,positive,neg_prompt_v1,0.042
25,pain,negative,neg_prompt_v1,0.0
26,pain_rhymes_all,positive,neg_prompt_v1,0.95
26,pain_rhymes_all,negative,neg_prompt_v1,0.0
26,quick_rhymes_all,positive,neg_prompt_v1,0.004
26,quick_rhymes_all,negative,neg_prompt_v1,0.89
26,trick,positive,neg_prompt_v1,0.0
26,trick,negative,neg_prompt_v1,0.322
26,rain,positive,neg_prompt_v1,0.412
26,rain,negative,neg_prompt_v1,0.0
26,quick,positive,neg_prompt_v1,0.002
26,quick,negative,neg_prompt_v1,0.4
26,pain,positive,neg_prompt_v1,0.024
26,pain,negative,neg_prompt_v1,0.0
27,pain_rhymes_all,positive,neg_prompt_v1,0.75
27,pain_rhymes_all,negative,neg_prompt_v1,0.002
27,quick_rhymes_all,positive,neg_prompt_v1,0.0
27,quick_rhymes_all,negative,neg_prompt_v1,0.038
27,trick,positive,neg_prompt_v1,0.0
27,trick,negative,neg_prompt_v1,0.014
27,rain,positive,neg_prompt_v1,0.276
27,rain,negative,neg_prompt_v1,0.002
27,quick,positive,neg_prompt_v1,0.0
27,quick,negative,neg_prompt_v1,0.014
27,pain,positive,neg_prompt_v1,0.012
27,pain,negative,neg_prompt_v1,0.0
28,pain_rhymes_all,positive,neg_prompt_v1,0.492
28,pain_rhymes_all,negative,neg_prompt_v1,0.0
28,quick_rhymes_all,positive,neg_prompt_v1,0.0
28,quick_rhymes_all,negative,neg_prompt_v1,0.024
28,trick,positive,neg_prompt_v1,0.0
28,trick,negative,neg_prompt_v1,0.008
28,rain,positive,neg_prompt_v1,0.284
28,rain,negative,neg_prompt_v1,0.0
28,quick,positive,neg_prompt_v1,0.0
28,quick,negative,neg_prompt_v1,0.006
28,pain,positive,neg_prompt_v1,0.016
28,pain,negative,neg_prompt_v1,0.0
29,pain_rhymes_all,positive,neg_prompt_v1,0.454
29,pain_rhymes_all,negative,neg_prompt_v1,0.03
29,quick_rhymes_all,positive,neg_prompt_v1,0.006
29,quick_rhymes_all,negative,neg_prompt_v1,0.022
29,trick,positive,neg_prompt_v1,0.004
29,trick,negative,neg_prompt_v1,0.01
29,rain,positive,neg_prompt_v1,0.342
29,rain,negative,neg_prompt_v1,0.03
29,quick,positive,neg_prompt_v1,0.0
29,quick,negative,neg_prompt_v1,0.0
29,pain,positive,neg_prompt_v1,0.0
29,pain,negative,neg_prompt_v1,0.0
30,pain_rhymes_all,positive,neg_prompt_v1,0.538
30,pain_rhymes_all,negative,neg_prompt_v1,0.004
30,quick_rhymes_all,positive,neg_prompt_v1,0.01
30,quick_rhymes_all,negative,neg_prompt_v1,0.102
30,trick,positive,neg_prompt_v1,0.006
30,trick,negative,neg_prompt_v1,0.026
30,rain,positive,neg_prompt_v1,0.288
30,rain,negative,neg_prompt_v1,0.002
30,quick,positive,neg_prompt_v1,0.0
30,quick,negative,neg_prompt_v1,0.012
30,pain,positive,neg_prompt_v1,0.0
30,pain,negative,neg_prompt_v1,0.002
31,pain_rhymes_all,positive,neg_prompt_v1,0.016
31,pain_rhymes_all,negative,neg_prompt_v1,0.0
31,quick_rhymes_all,positive,neg_prompt_v1,0.542
31,quick_rhymes_all,negative,neg_prompt_v1,0.604
31,trick,positive,neg_prompt_v1,0.21
31,trick,negative,neg_prompt_v1,0.178
31,rain,positive,neg_prompt_v1,0.008
31,rain,negative,neg_prompt_v1,0.0
31,quick,positive,neg_prompt_v1,0.1
31,quick,negative,neg_prompt_v1,0.242
31,pain,positive,neg_prompt_v1,0.0
31,pain,negative,neg_prompt_v1,0.0
32,pain_rhymes_all,positive,neg_prompt_v1,0.0
32,pain_rhymes_all,negative,neg_prompt_v1,0.0
32,quick_rhymes_all,positive,neg_prompt_v1,0.908
32,quick_rhymes_all,negative,neg_prompt_v1,0.69
32,trick,positive,neg_prompt_v1,0.334
32,trick,negative,neg_prompt_v1,0.108
32,rain,positive,neg_prompt_v1,0.0
32,rain,negative,neg_prompt_v1,0.0
32,quick,positive,neg_prompt_v1,0.09
32,quick,negative,neg_prompt_v1,0.436
32,pain,positive,neg_prompt_v1,0.0
32,pain,negative,neg_prompt_v1,0.0
33,pain_rhymes_all,positive,neg_prompt_v1,0.0
33,pain_rhymes_all,negative,neg_prompt_v1,0.0
33,quick_rhymes_all,positive,neg_prompt_v1,0.936
33,quick_rhymes_all,negative,neg_prompt_v1,0.896
33,trick,positive,neg_prompt_v1,0.388
33,trick,negative,neg_prompt_v1,0.176
33,rain,positive,neg_prompt_v1,0.0
33,rain,negative,neg_prompt_v1,0.0
33,quick,positive,neg_prompt_v1,0.122
33,quick,negative,neg_prompt_v1,0.544
33,pain,positive,neg_prompt_v1,0.0
33,pain,negative,neg_prompt_v1,0.0
34,pain_rhymes_all,positive,neg_prompt_v1,0.0
34,pain_rhymes_all,negative,neg_prompt_v1,0.0
34,quick_rhymes_all,positive,neg_prompt_v1,0.908
34,quick_rhymes_all,negative,neg_prompt_v1,0.932
34,trick,positive,neg_prompt_v1,0.298
34,trick,negative,neg_prompt_v1,0.24
34,rain,positive,neg_prompt_v1,0.0
34,rain,negative,neg_prompt_v1,0.0
34,quick,positive,neg_prompt_v1,0.15
34,quick,negative,neg_prompt_v1,0.58
34,pain,positive,neg_prompt_v1,0.0
34,pain,negative,neg_prompt_v1,0.0
35,pain_rhymes_all,positive,neg_prompt_v1,0.0
35,pain_rhymes_all,negative,neg_prompt_v1,0.0
35,quick_rhymes_all,positive,neg_prompt_v1,0.95
35,quick_rhymes_all,negative,neg_prompt_v1,0.946
35,trick,positive,neg_prompt_v1,0.328
35,trick,negative,neg_prompt_v1,0.256
35,rain,positive,neg_prompt_v1,0.0
35,rain,negative,neg_prompt_v1,0.0
35,quick,positive,neg_prompt_v1,0.118
35,quick,negative,neg_prompt_v1,0.598
35,pain,positive,neg_prompt_v1,0.0
35,pain,negative,neg_prompt_v1,0.0
36,pain_rhymes_all,positive,neg_prompt_v1,0.0
36,pain_rhymes_all,negative,neg_prompt_v1,0.0
36,quick_rhymes_all,positive,neg_prompt_v1,0.978
36,quick_rhymes_all,negative,neg_prompt_v1,0.982
36,trick,positive,neg_prompt_v1,0.366
36,trick,negative,neg_prompt_v1,0.278
36,rain,positive,neg_prompt_v1,0.0
36,rain,negative,neg_prompt_v1,0.0
36,quick,positive,neg_prompt_v1,0.122
36,quick,negative,neg_prompt_v1,0.588
36,pain,positive,neg_prompt_v1,0.0
36,pain,negative,neg_prompt_v1,0.0
37,pain_rhymes_all,positive,neg_prompt_v1,0.0
37,pain_rhymes_all,negative,neg_prompt_v1,0.0
37,quick_rhymes_all,positive,neg_prompt_v1,0.978
37,quick_rhymes_all,negative,neg_prompt_v1,0.978
37,trick,positive,neg_prompt_v1,0.332
37,trick,negative,neg_prompt_v1,0.328
37,rain,positive,neg_prompt_v1,0.0
37,rain,negative,neg_prompt_v1,0.0
37,quick,positive,neg_prompt_v1,0.202
37,quick,negative,neg_prompt_v1,0.574
37,pain,positive,neg_prompt_v1,0.0
37,pain,negative,neg_prompt_v1,0.0
38,pain_rhymes_all,positive,neg_prompt_v1,0.0
38,pain_rhymes_all,negative,neg_prompt_v1,0.0
38,quick_rhymes_all,positive,neg_prompt_v1,0.982
38,quick_rhymes_all,negative,neg_prompt_v1,0.992
38,trick,positive,neg_prompt_v1,0.386
38,trick,negative,neg_prompt_v1,0.29
38,rain,positive,neg_prompt_v1,0.0
38,rain,negative,neg_prompt_v1,0.0
38,quick,positive,neg_prompt_v1,0.142
38,quick,negative,neg_prompt_v1,0.54
38,pain,positive,neg_prompt_v1,0.0
38,pain,negative,neg_prompt_v1,0.0
39,pain_rhymes_all,positive,neg_prompt_v1,0.0
39,pain_rhymes_all,negative,neg_prompt_v1,0.0
39,quick_rhymes_all,positive,neg_prompt_v1,0.982
39,quick_rhymes_all,negative,neg_prompt_v1,0.988
39,trick,positive,neg_prompt_v1,0.374
39,trick,negative,neg_prompt_v1,0.232
39,rain,positive,neg_prompt_v1,0.0
39,rain,negative,neg_prompt_v1,0.0
39,quick,positive,neg_prompt_v1,0.158
39,quick,negative,neg_prompt_v1,0.582
39,pain,positive,neg_prompt_v1,0.0
39,pain,negative,neg_prompt_v1,0.0
40,pain_rhymes_all,positive,neg_prompt_v1,0.0
40,pain_rhymes_all,negative,neg_prompt_v1,0.0
40,quick_rhymes_all,positive,neg_prompt_v1,0.982
40,quick_rhymes_all,negative,neg_prompt_v1,0.996
40,trick,positive,neg_prompt_v1,0.432
40,trick,negative,neg_prompt_v1,0.164
40,rain,positive,neg_prompt_v1,0.0
40,rain,negative,neg_prompt_v1,0.0
40,quick,positive,neg_prompt_v1,0.212
40,quick,negative,neg_prompt_v1,0.63
40,pain,positive,neg_prompt_v1,0.0
40,pain,negative,neg_prompt_v1,0.0
41,pain_rhymes_all,positive,neg_prompt_v1,0.0
41,pain_rhymes_all,negative,neg_prompt_v1,0.0
41,quick_rhymes_all,positive,neg_prompt_v1,0.978
41,quick_rhymes_all,negative,neg_prompt_v1,0.992
41,trick,positive,neg_prompt_v1,0.352
41,trick,negative,neg_prompt_v1,0.144
41,rain,positive,neg_prompt_v1,0.0
41,rain,negative,neg_prompt_v1,0.0
41,quick,positive,neg_prompt_v1,0.254
41,quick,negative,neg_prompt_v1,0.632
41,pain,positive,neg_prompt_v1,0.0
41,pain,negative,neg_prompt_v1,0.0
